[2025-07-30 22:31:27,819] DEBUG - receive_response_headers.complete return_value=(b'HTTP/1.1', 302, b'Found', [(b'Server', b'nginx/1.24.0'), (b'Date', b'Wed, 30 Jul 2025 19:31:28 GMT'), (b'Content-Type', b'image/jpeg'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'Access-Control-Allow-Origin', b'*'), (b'Accept-Ranges', b'bytes'), (b'Location', b'https://ia600800.us.archive.org/29/items/mbid-0a91eab7-f566-4dd2-93b9-8b69a3f0f891/mbid-0a91eab7-f566-4dd2-93b9-8b69a3f0f891-41978780364.jpg'), (b'Strict-Transport-Security', b'max-age=15724800'), (b'Onion-Location', b'https://archivep75mbjunhxc6x4j5mwjmomyxb573v42baldlqu56ruil2oiad.onion/download/mbid-0a91eab7-f566-4dd2-93b9-8b69a3f0f891/mbid-0a91eab7-f566-4dd2-93b9-8b69a3f0f891-41978780364.jpg'), (b'Content-Security-Policy', b"report-uri https://archive.org/services/csp-report; default-src *; img-src * data: blob:; object-src 'none'; media-src * blob:; connect-src * data:; style-src 'unsafe-inline' https://archive.org/ https://archive.org https://esm.archive.org/ https://esm.ext.archive.org/ https://offshoot.prod.archive.org/ https://av.archive.org/css/ https://av.dev.archive.org/css/ https://accounts.google.com/gsi/ https://synerg.adp.com/; script-src 'nonce-23c0dee3c6f7ef8d05389fde8a1ba0f2' https://archive.org/includes/ https://archive.org/includes/ https://archive.org/components/ https://archive.org/components/ https://archive.org/v/ https://archive.org/v/ https://archive.org/upload/app/ https://archive.org/offshoot_assets/ https://archive.org/offshoot_assets/ https://esm.archive.org/ https://esm.ext.archive.org/ https://polyfill.archive.org/v3/polyfill.min.js https://offshoot.prod.archive.org/ https://av.archive.org/ https://av.dev.archive.org/ https://openlibrary.org/query.json https://emularity-engine.ux-b.archive.org/ https://emularity-config.ux-b.archive.org/ https://emularity-bios.ux-b.archive.org/ https://archive.org/services/emularity/ https://archive.org/services/emularity/ 'wasm-unsafe-eval' 'sha256-CoX53XgCdkM1zegYEEpMUeYIZnv663inNm8bQv2VRbM=' https://accounts.google.com/gsi/ https://www.google.com/recaptcha/ https://www.gstatic.com/recaptcha/ https://workforcenow.adp.com/ https://synerg.adp.com/ https://apollo.archive.org"), (b'Referrer-Policy', b'no-referrer-when-downgrade')])
[2025-07-30 22:31:27,820] INFO - HTTP Request: GET https://archive.org/download/mbid-0a91eab7-f566-4dd2-93b9-8b69a3f0f891/mbid-0a91eab7-f566-4dd2-93b9-8b69a3f0f891-41978780364.jpg "HTTP/1.1 302 Found"
[2025-07-30 22:31:27,820] DEBUG - receive_response_body.started request=<Request [b'GET']>
[2025-07-30 22:31:27,820] DEBUG - receive_response_body.complete
[2025-07-30 22:31:27,820] DEBUG - response_closed.started
[2025-07-30 22:31:27,820] DEBUG - response_closed.complete
[2025-07-30 22:31:27,820] DEBUG - connect_tcp.started host='ia600800.us.archive.org' port=443 local_address=None timeout=5.0 socket_options=None
[2025-07-30 22:31:28,059] DEBUG - connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x000002380C51DE80>
[2025-07-30 22:31:28,059] DEBUG - start_tls.started ssl_context=<ssl.SSLContext object at 0x000002380C53B9D0> server_hostname='ia600800.us.archive.org' timeout=5.0
[2025-07-30 22:31:28,251] DEBUG - start_tls.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x000002380C51FCE0>
[2025-07-30 22:31:28,251] DEBUG - send_request_headers.started request=<Request [b'GET']>
[2025-07-30 22:31:28,251] DEBUG - send_request_headers.complete
[2025-07-30 22:31:28,251] DEBUG - send_request_body.started request=<Request [b'GET']>
[2025-07-30 22:31:28,251] DEBUG - send_request_body.complete
[2025-07-30 22:31:28,251] DEBUG - receive_response_headers.started request=<Request [b'GET']>
